GC_Content,ORF_Length,Fickett_Score,Hexamer_Score,MFE,Sequence_Length,Label,ID
0.460992908,0,0.5,0.00031856,-84.6,282,1,BNAP_LNC000001.1
0.444,83,0.5,0.000374822,-50.4,250,1,BNAP_LNC000002.1
0.464935065,329,0.5,0.000301659,-112.9,385,1,BNAP_LNC000003.1
0.44373673,386,0.5,0.000351867,-133.4,471,1,BNAP_LNC000004.1
0.31880109,353,0.5,0.000406673,-51.9,367,1,BNAP_LNC000005.1
0.436241611,266,0.5,0.00029133,-74.8,298,1,BNAP_LNC000006.1
0.428082192,193,0.5,0.000332173,-56.3,292,1,BNAP_LNC000007.1
0.437275986,179,0.5,0.000352293,-66.4,279,1,BNAP_LNC000008.1
0.46779661,270,0.5,0.000314734,-87.1,295,1,BNAP_LNC000009.1
0.549586777,190,0.5,0.00022833,-62.7,242,1,BNAP_LNC000010.1
0.544169611,186,0.5,0.000225133,-85.9,283,1,BNAP_LNC000011.1
0.49609375,165,0.5,0.000283698,-74.9,256,1,BNAP_LNC000012.1
0.442073171,273,0.5,0.000331487,-76.7,328,1,BNAP_LNC000013.1
0.447019868,247,0.5,0.000333788,-67.9,302,1,BNAP_LNC000013.3
0.393258427,320,0.5,0.000428036,-68.7,356,1,BNAP_LNC000014.1
0.326359833,154,0.5,0.000402975,-40.8,239,1,BNAP_LNC000013.4
0.401734104,100,0.5,0.000371576,-62.7,346,1,BNAP_LNC000015.1
0.597269625,139,0.5,0.000238511,-96.7,293,1,BNAP_LNC000016.1
0.504504505,207,0.5,0.000284351,-54.6,222,1,BNAP_LNC000017.1
0.447154472,233,0.5,0.000328992,-59.6,246,1,BNAP_LNC000018.1
0.612903226,205,0.5,0.000218028,-79.8,217,1,BNAP_LNC000019.1
0.387323944,271,0.5,0.000376736,-55.7,284,1,BNAP_LNC000020.1
0.455399061,110,0.5,0.000375668,-53.5,213,1,BNAP_LNC000021.1
0.57037037,235,0.5,0.00025622,-93.8,270,1,BNAP_LNC000022.1
0.470338983,40,0.5,0.000293196,-57.4,236,1,BNAP_LNC000023.1
0.243333333,585,0.5,0.000493207,-106.9,600,1,BNAP_LNC000024.1
0.268623025,376,0.5,0.000450045,-72.4,443,1,BNAP_LNC000025.1
0.213414634,654,0.5,0.000507905,-97.6,656,1,BNAP_LNC000026.1
0.421052632,153,0.5,0.000335751,-52,209,1,BNAP_LNC000027.1
0.605769231,189,0.5,0.000236563,-77.4,208,1,BNAP_LNC000028.1
0.644628099,0,0.5,0.000222313,-113.3,242,1,BNAP_LNC000029.1
0.350393701,199,0.5,0.000422054,-35.5,254,1,BNAP_LNC000030.1
0.646341463,0,0.5,0.000220656,-119.4,246,1,BNAP_LNC000031.1
0.216748768,127,0.5,0.00060404,-31.6,203,1,BNAP_LNC000032.1
0.472089314,519,0.5,0.000353135,-184.3,627,1,BNAP_LNC000033.1
0.492007105,455,0.5,0.000341646,-162.4,563,1,BNAP_LNC000033.2
0.580152672,285,0.5,0.000267,-119.6,393,1,BNAP_LNC000033.3
0.542416452,362,0.5,0.000231112,-119.6,389,1,BNAP_LNC000034.1
0.531506849,338,0.5,0.000237505,-102.4,365,1,BNAP_LNC000034.2
0.416918429,306,0.5,0.000313112,-51.1,331,1,BNAP_LNC000035.1
0.405228758,281,0.5,0.000323161,-48.2,306,1,BNAP_LNC000035.2
0.355855856,121,0.5,0.000348961,-46.8,222,1,BNAP_LNC000036.1
0.395770393,326,0.5,0.000398715,-72,331,1,BNAP_LNC000037.1
0.44549763,139,0.5,0.000318739,-54.4,211,1,BNAP_LNC000038.1
0.311897106,123,0.5,0.000430705,-74.5,311,1,BNAP_LNC000039.1
0.32972973,698,0.5,0.000464521,-146.1,740,1,BNAP_LNC000040.1
0.5,215,0.5,0.000391597,-64.3,240,1,BNAP_LNC000041.1
0.47148289,103,0.5,0.000434608,-52.2,263,1,BNAP_LNC000042.1
0.58677686,0,0.5,0.000221429,-90.4,242,1,BNAP_LNC000043.1
0.487704918,235,0.5,0.000229406,-52.7,244,1,BNAP_LNC000044.1
0.551020408,217,0.5,0.000249619,-80.8,245,1,BNAP_LNC000045.1
0.559183673,15,0.5,0.000247964,-85.2,245,1,BNAP_LNC000043.2
0.401515152,169,0.5,0.000371905,-49.4,264,1,BNAP_LNC000046.1
0.512315271,178,0.5,0.000245829,-43.2,203,1,BNAP_LNC000047.1
0.429065744,277,0.5,0.000336608,-70.9,289,1,BNAP_LNC000048.1
0.49609375,224,0.5,0.000267549,-66.4,256,1,BNAP_LNC000049.1
0.352112676,281,0.5,0.000358176,-49.4,284,1,BNAP_LNC000050.1
0.531690141,190,0.5,0.00029261,-97.1,284,1,BNAP_LNC000051.1
0.508333333,176,0.5,0.000277146,-65.1,240,1,BNAP_LNC000052.1
0.511945392,51,0.5,0.000290331,-40.7,293,1,BNAP_LNC000053.1
0.517571885,281,0.5,0.000262556,-85,313,1,BNAP_LNC000054.1
0.406137184,437,0.5,0.000389219,-123.8,554,1,BNAP_LNC000056.1
0.254752852,263,0.5,0.000485971,-41,263,1,BNAP_LNC000057.1
0.572347267,284,0.5,0.000223721,-124.9,311,1,BNAP_LNC000058.1
0.573333333,273,0.5,0.000215868,-121.3,300,1,BNAP_LNC000058.2
0.571428571,281,0.5,0.000220001,-121.9,308,1,BNAP_LNC000058.3
0.417977528,377,0.5,0.000352268,-114.6,445,1,BNAP_LNC000059.1
0.221276596,232,0.5,0.000491609,-23.6,235,1,BNAP_LNC000060.1
0.561247216,405,0.5,0.000319155,-147.9,449,1,BNAP_LNC000061.1
0.566326531,351,0.5,0.000325933,-103.3,392,1,BNAP_LNC000061.2
0.565088757,321,0.5,0.000317809,-91.6,338,1,BNAP_LNC000061.3
0.577160494,276,0.5,0.000295984,-82.1,324,1,BNAP_LNC000061.4
0.570666667,333,0.5,0.000298571,-97.5,375,1,BNAP_LNC000061.5
0.501792115,278,0.5,0.000293762,-80.6,279,1,BNAP_LNC000062.1
0.494545455,169,0.5,0.000281856,-77.7,275,1,BNAP_LNC000063.1
0.52962298,444,0.5,0.000307923,-182.7,557,1,BNAP_LNC000061.6
0.527240773,444,0.5,0.00030722,-191,569,1,BNAP_LNC000061.7
0.56557377,357,0.5,0.000296119,-101.8,366,1,BNAP_LNC000061.8
0.525862069,355,0.5,0.000310801,-153.5,464,1,BNAP_LNC000061.9
0.468384075,421,0.5,0.00031361,-85,427,1,BNAP_LNC000064.1
0.374384236,169,0.5,0.000354051,-25.6,203,1,BNAP_LNC000065.1
0.546712803,261,0.5,0.000298707,-102,289,1,BNAP_LNC000066.1
0.406779661,203,0.5,0.000377524,-58.9,295,1,BNAP_LNC000067.1
0.433133733,481,0.5,0.00033018,-89.7,501,1,BNAP_LNC000068.1
0.52892562,709,0.5,0.000319974,-383.7,968,1,BNAP_LNC000069.1
0.3975,765,0.5,0.000359008,-197.1,800,1,BNAP_LNC000070.1
0.353383459,248,0.5,0.000348998,-49.4,266,1,BNAP_LNC000071.1
0.37593985,379,0.5,0.000346446,-90,399,1,BNAP_LNC000072.1
0.435261708,304,0.5,0.000360755,-88.9,363,1,BNAP_LNC000073.1
0.436416185,304,0.5,0.000365929,-85.9,346,1,BNAP_LNC000073.2
0.424460432,232,0.5,0.000382921,-48.5,278,1,BNAP_LNC000074.1
0.444444444,478,0.5,0.000332605,-111.9,486,1,BNAP_LNC000075.1
0.450657895,136,0.5,0.000313935,-87.8,304,1,BNAP_LNC000076.1
0.482269504,191,0.5,0.000288193,-84.3,282,1,BNAP_LNC000077.1
0.428571429,96,0.5,0.000348406,-63.5,238,1,BNAP_LNC000078.1
0.5,139,0.496815287,0.00032778,-83.4,314,1,BNAP_LNC000079.1
0.472924188,267,0.5,0.000305971,-75,277,1,BNAP_LNC000081.1
0.332191781,72,0.5,0.000474769,-59.2,292,1,BNAP_LNC000082.1
0.411609499,292,0.5,0.000366189,-74.2,379,1,BNAP_LNC000080.1
0.441595442,304,0.5,0.000278314,-76.1,351,1,BNAP_LNC000083.1
0.403333333,266,0.5,0.000386767,-58.8,300,1,BNAP_LNC000083.2
0.386255924,407,0.5,0.000386814,-108,422,1,BNAP_LNC000084.1
0.471910112,238,0.5,0.000329317,-104.3,356,1,BNAP_LNC000085.2
0.418141593,238,0.5,0.000388726,-111.9,452,1,BNAP_LNC000085.1
0.422492401,265,0.5,0.000298305,-75.3,329,1,BNAP_LNC000086.1
0.407673861,203,0.5,0.000397168,-103.6,417,1,BNAP_LNC000085.3
0.497512438,284,0.5,0.000310188,-129.7,402,1,BNAP_LNC000085.4
0.498765432,287,0.5,0.000303983,-128.8,405,1,BNAP_LNC000085.5
0.482384824,251,0.5,0.000308904,-116.9,369,1,BNAP_LNC000085.6
0.686746988,102,0.5,0.000155053,-112.4,249,1,BNAP_LNC000087.1
0.484649123,403,0.5,0.000317513,-78.7,456,1,BNAP_LNC000088.1
0.275423729,219,0.5,0.000519467,-22.2,236,1,BNAP_LNC000089.1
0.316953317,367,0.5,0.000459585,-71.4,407,1,BNAP_LNC000090.1
0.278890601,640,0.5,0.000463587,-111.9,649,1,BNAP_LNC000091.1
0.507462687,260,0.5,0.00029271,-85.6,268,1,BNAP_LNC000092.1
0.377470356,503,0.5,0.000375415,-117.3,506,1,BNAP_LNC000093.1
0.459074733,261,0.5,0.000320273,-71.7,281,1,BNAP_LNC000094.1
0.483775811,317,0.5,0.000303438,-73.3,339,1,BNAP_LNC000095.1
0.485119048,314,0.5,0.00030514,-73.3,336,1,BNAP_LNC000095.2
0.305555556,271,0.5,0.000433154,-65.4,324,1,BNAP_LNC000096.1
0.448275862,267,0.5,0.000297305,-64.8,290,1,BNAP_LNC000097.1
0.264840183,134,0.5,0.000479582,-33.3,219,1,BNAP_LNC000098.1
0.434782609,231,0.5,0.000371918,-46.7,253,1,BNAP_LNC000099.1
0.404819277,353,0.5,0.000375308,-98.8,415,1,BNAP_LNC000100.1
0.434362934,238,0.5,0.0003288,-110.7,518,1,BNAP_LNC000101.1
0.451724138,285,0.5,0.00034229,-66.5,290,1,BNAP_LNC000102.1
0.447811448,231,0.5,0.000342571,-70.1,297,1,BNAP_LNC000103.1
0.285302594,292,0.5,0.000413198,-66,347,1,BNAP_LNC000105.1
0.328244275,91,0.5,0.000400537,-43.3,262,1,BNAP_LNC000106.1
0.528776978,244,0.5,0.000266818,-79,278,1,BNAP_LNC000107.1
0.487004104,700,0.5,0.000318448,-211.2,731,1,BNAP_LNC000107.2
0.479338843,358,0.5,0.000332181,-85.7,363,1,BNAP_LNC000107.3
0.48189415,358,0.5,0.000328251,-89.6,359,1,BNAP_LNC000107.4
0.471098266,346,0.5,0.000321317,-84.7,346,1,BNAP_LNC000107.5
