lncRNA_ID,lncRNA_Class,mRNA_ID
STRG.1.1,overlapping,XR_001143330.2
STRG.10.1,overlapping,XM_004485376.3
STRG.100.1,antisense,XM_004486000.3
STRG.100.1,antisense,XM_004486001.3
STRG.100.1,antisense,XM_027336205.1
STRG.1000.1,antisense,XM_027332089.1
STRG.1001.1,overlapping,XM_027332089.1
STRG.1002.1,antisense,XM_027332214.1
STRG.1006.1,intronic,XR_003471501.1
STRG.1007.1,overlapping,XM_004490495.3
STRG.1009.1,antisense,XM_004490496.3
STRG.101.1,intronic,XR_001144280.2
STRG.101.1,intronic,XM_012717724.2
STRG.101.1,intronic,XM_012717706.2
STRG.101.1,intronic,XM_027333584.1
STRG.1010.1,intronic,XR_003471445.1
STRG.1011.1,overlapping,XR_003471502.1
STRG.1012.1,intronic,XM_027332097.1
STRG.1013.1,intronic,XM_004490508.3
STRG.1013.1,intronic,XM_027331875.1
STRG.1013.1,intronic,XM_027331874.1
STRG.1013.1,intronic,XM_004490509.3
STRG.1014.1,overlapping,XM_004490515.3
STRG.1015.1,overlapping,XM_004490520.3
STRG.1016.1,antisense,XM_004490520.3
STRG.1017.1,antisense,XM_027331576.1
STRG.1020.1,overlapping,XR_003471650.1
STRG.1020.1,overlapping,XR_003471641.1
STRG.1021.1,antisense,XM_012712977.2
STRG.1022.1,intronic,XM_027332099.1
STRG.1023.1,antisense,XR_003471731.1
STRG.1023.1,antisense,XR_003471706.1
STRG.1023.1,antisense,XR_003471686.1
STRG.1023.1,antisense,XR_003471681.1
STRG.1023.1,antisense,XR_003471717.1
STRG.1023.1,antisense,XR_003471669.1
STRG.1023.1,antisense,XR_003471682.1
STRG.1023.1,antisense,XR_003471685.1
STRG.1023.1,antisense,XR_003471730.1
STRG.1023.1,antisense,XR_003471733.1
STRG.1023.1,antisense,XR_003471674.1
STRG.1023.1,antisense,XR_003471728.1
STRG.1023.1,antisense,XR_003471670.1
STRG.1023.1,antisense,XR_003471684.1
STRG.1023.1,antisense,XR_003471683.1
STRG.1025.1,overlapping,XR_001143368.2
STRG.1025.1,antisense,unassigned_transcript_106
STRG.1025.1,antisense,unassigned_transcript_107
STRG.1025.1,antisense,XM_004490558.3
STRG.1027.1,overlapping,XR_003471542.1
STRG.1027.1,antisense,XM_004490561.3
STRG.1028.1,overlapping,XM_004490565.3
STRG.1028.1,overlapping,XR_003471459.1
STRG.1028.1,overlapping,XR_003471460.1
STRG.1028.1,overlapping,XM_027331697.1
STRG.1028.1,overlapping,XM_004490564.3
STRG.103.1,overlapping,XM_027330733.1
STRG.1030.1,overlapping,XM_004490578.3
STRG.1032.1,intronic,XR_003471420.1
STRG.1032.1,overlapping,XR_003471421.1
STRG.1034.1,intronic,XR_003471545.1
STRG.1034.1,intronic,XM_004490612.3
STRG.1034.1,intronic,XM_004490611.3
STRG.1035.1,intronic,XM_004490639.3
STRG.1036.1,overlapping,XM_027331890.1
STRG.1037.1,intronic,XR_003471434.1
STRG.1037.1,antisense,XM_004490643.3
STRG.1039.1,overlapping,XM_004490647.3
STRG.1040.1,overlapping,XM_004490650.3
STRG.1043.1,overlapping,XR_003471555.1
STRG.1043.1,overlapping,XM_012713030.2
STRG.1043.1,overlapping,XM_012713028.2
STRG.1043.1,overlapping,XM_012713029.2
STRG.1043.1,overlapping,XR_001143389.2
STRG.1043.1,overlapping,XR_003471566.1
STRG.1043.1,overlapping,XR_003471564.1
STRG.1043.1,overlapping,XR_003471557.1
STRG.1043.1,overlapping,XR_003471556.1
STRG.1043.1,overlapping,XR_003471565.1
STRG.1043.1,overlapping,XR_001143385.2
STRG.1043.1,overlapping,XR_003471561.1
STRG.1043.1,overlapping,XR_003471558.1
STRG.1043.1,overlapping,XR_003471559.1
STRG.1043.1,overlapping,XR_003471562.1
STRG.1043.1,overlapping,XR_003471554.1
STRG.1043.1,overlapping,XR_003471560.1
STRG.1043.1,overlapping,XR_003471553.1
STRG.1043.1,overlapping,XR_003471552.1
STRG.1043.1,overlapping,XR_003471563.1
STRG.1044.1,antisense,XR_003471555.1
STRG.1044.1,antisense,XR_003471554.1
STRG.1044.1,antisense,XR_003471558.1
STRG.1044.1,antisense,XR_003471559.1
STRG.1044.1,antisense,XR_003471563.1
STRG.1044.1,antisense,XR_003471560.1
STRG.1044.1,antisense,XR_003471553.1
STRG.1044.1,antisense,XR_003471552.1
STRG.1044.1,antisense,XR_003471562.1
STRG.1044.1,antisense,XR_003471561.1
STRG.1044.1,antisense,XM_012713030.2
STRG.1044.1,antisense,XM_012713028.2
STRG.1044.1,antisense,XM_012713029.2
STRG.1044.1,antisense,XR_003471566.1
STRG.1044.1,antisense,XR_001143385.2
STRG.1044.1,antisense,XR_001143389.2
STRG.1044.1,antisense,XR_003471565.1
STRG.1044.1,antisense,XR_003471564.1
STRG.1044.1,antisense,XR_003471557.1
STRG.1044.1,antisense,XR_003471556.1
STRG.1045.1,overlapping,XR_003471423.1
STRG.1045.1,overlapping,XR_003471424.1
STRG.1045.2,overlapping,XR_003471424.1
STRG.1045.2,overlapping,XR_003471423.1
STRG.1046.1,antisense,XM_004490672.3
STRG.1047.1,antisense,XM_004490677.3
STRG.1047.1,antisense,XM_004490678.3
STRG.1047.2,antisense,XM_004490678.3
STRG.1047.2,antisense,XM_004490677.3
STRG.1048.1,intronic,XM_004490678.3
STRG.1048.1,overlapping,XM_004490677.3
STRG.1049.1,overlapping,XM_012713008.2
STRG.105.1,antisense,XM_004486043.3
STRG.1050.1,overlapping,XR_189443.3
STRG.1051.1,intronic,XM_004490684.3
STRG.1052.1,antisense,XM_004490684.3
STRG.1053.1,overlapping,XR_001143392.2
STRG.1054.1,antisense,XM_004490728.3
STRG.1055.1,overlapping,XM_027331906.1
STRG.1055.1,overlapping,XR_001143394.2
STRG.1055.1,overlapping,XR_003471570.1
STRG.1055.1,overlapping,XM_012713050.2
STRG.1057.1,antisense,XM_004490736.3
STRG.1057.1,intronic,XM_012713039.2
STRG.1058.1,intronic,XM_004490738.3
