GC_Content,ORF_Length,Fickett_Score,Hexamer_Score,MFE,Sequence_Length,Label,ID,Predicted_Label,Predicted_Probability
0.337025316,1.01,1.269527363,-160.9,0.000456855,632,-1,MSTRG.1.1,1,1.0
0.354948805,1.05,1.160096154,-156.8,0.0004363,586,-1,MSTRG.1.2,1,1.0
0.432624113,0.24,1.672101449,-61.6,0.000377623,282,-1,MSTRG.2.1,1,1.0
0.42721519,0.55,1.644987469,-79.6,0.000373156,316,-1,MSTRG.2.2,1,1.0
0.414918415,0.24,1.29672984,-95.3,0.000385889,429,-1,MSTRG.2.3,1,1.0
0.407322654,0.24,1.469648216,-100.3,0.000387361,437,-1,MSTRG.2.4,1,1.0
0.322758621,0.73,1.195083597,-314.2,0.000444951,1450,-1,MSTRG.3.8,1,1.0
0.315644383,0.73,1.109594598,-304.8,0.000453884,1451,-1,MSTRG.3.9,1,1.0
0.30380868,0.73,1.083882143,-241.2,0.000475026,1129,-1,MSTRG.3.10,1,1.0
0.312735494,0.34,1.186090995,-271.3,0.000469757,1327,-1,MSTRG.3.12,1,1.0
0.343456255,0.29,1.176852955,-318.8,0.000456155,1383,-1,MSTRG.3.13,1,1.0
0.330798479,0.45,1.121719054,-307.8,0.000470412,1315,-1,MSTRG.3.14,1,1.0
0.34265233,0.86,1.255337981,-300.0,0.000440039,1395,-1,MSTRG.4.1,1,1.0
0.346600332,0.86,1.337076232,-264.1,0.000431907,1206,-1,MSTRG.4.2,1,1.0
0.357495881,1.19,1.241417671,-257.8,0.000453312,1214,-1,MSTRG.5.2,1,1.0
0.38480194,0.38,1.261016168,-232.6,0.000346102,1237,-1,MSTRG.7.5,1,1.0
0.363736264,0.94,1.429956223,-201.6,0.000420219,910,-1,MSTRG.6.5,1,1.0
0.359781122,0.84,1.093992844,-338.4,0.000424135,1462,-1,MSTRG.6.6,1,1.0
0.360992908,0.81,1.1896732,-340.6,0.000422333,1410,-1,MSTRG.6.8,1,1.0
0.351351351,0.4,1.50103022,-52.6,0.000472066,296,-1,MSTRG.6.9,1,1.0
0.343130554,0.49,1.21168273,-353.3,0.000432511,1463,-1,MSTRG.10.2,1,1.0
0.34298441,0.85,1.08369248,-323.0,0.000430055,1347,-1,MSTRG.10.4,1,1.0
0.376325088,0.31,1.569500675,-85.57,0.000387264,566,-1,MSTRG.10.17,1,1.0
0.351407716,1.38,1.068302983,-177.77,0.000439875,959,-1,MSTRG.13.1,1,1.0
0.350854139,0.82,1.395054264,-177.2,0.000411997,761,-1,MSTRG.17.5,1,1.0
0.376470588,2.27,1.407095505,-296.8,0.000398551,1275,-1,MSTRG.21.1,1,1.0
0.388724036,0.66,1.862402534,-86.1,0.000456308,337,-1,MSTRG.23.1,1,1.0
0.42215256,0.69,1.514673203,-231.5,0.000348852,957,-1,MSTRG.25.1,1,1.0
