ID,GC,ORF_len,ORF_cov,Fickett,Hexamer_Score,MFE
MSTRG.1.1,0.337025316,1.01,0.47943038,1.269527363,-160.9,-160.9
MSTRG.1.2,0.354948805,1.05,0.537542662,1.160096154,-156.8,-156.8
MSTRG.2.1,0.432624113,0.24,0.255319149,1.672101449,-61.6,-61.6
MSTRG.2.2,0.42721519,0.55,0.522151899,1.644987469,-79.6,-79.6
MSTRG.2.3,0.414918415,0.24,0.167832168,1.29672984,-95.3,-95.3
MSTRG.2.4,0.407322654,0.24,0.164759725,1.469648216,-100.3,-100.3
MSTRG.3.8,0.322758621,0.73,0.151034483,1.195083597,-314.2,-314.2
MSTRG.3.9,0.315644383,0.73,0.150930393,1.109594598,-304.8,-304.8
MSTRG.3.10,0.30380868,0.73,0.193976971,1.083882143,-241.2,-241.2
MSTRG.3.12,0.312735494,0.34,0.076865109,1.186090995,-271.3,-271.3
MSTRG.3.13,0.343456255,0.29,0.062906725,1.176852955,-318.8,-318.8
MSTRG.3.14,0.330798479,0.45,0.102661597,1.121719054,-307.8,-307.8
MSTRG.4.1,0.34265233,0.86,0.184946237,1.255337981,-300,-300
MSTRG.4.2,0.346600332,0.86,0.213930348,1.337076232,-264.1,-264.1
MSTRG.5.2,0.357495881,1.19,0.294069193,1.241417671,-257.8,-257.8
MSTRG.7.5,0.38480194,0.38,0.092158448,1.261016168,-232.6,-232.6
MSTRG.6.5,0.363736264,0.94,0.30989011,1.429956223,-201.6,-201.6
MSTRG.6.6,0.359781122,0.84,0.172366621,1.093992844,-338.4,-338.4
MSTRG.6.8,0.360992908,0.81,0.172340426,1.1896732,-340.6,-340.6
MSTRG.6.9,0.351351351,0.4,0.405405405,1.50103022,-52.6,-52.6
MSTRG.10.2,0.343130554,0.49,0.100478469,1.21168273,-353.3,-353.3
MSTRG.10.4,0.34298441,0.85,0.189309577,1.08369248,-323,-323
MSTRG.10.17,0.376325088,0.31,0.164310954,1.569500675,-85.57,-85.57
MSTRG.13.1,0.351407716,1.38,0.431699687,1.068302983,-177.77,-177.77
MSTRG.17.5,0.350854139,0.82,0.32325887,1.395054264,-177.2,-177.2
MSTRG.21.1,0.376470588,2.27,0.534117647,1.407095505,-296.8,-296.8
MSTRG.23.1,0.388724036,0.66,0.587537092,1.862402534,-86.1,-86.1
MSTRG.25.1,0.42215256,0.69,0.21630094,1.514673203,-231.5,-231.5
MSTRG.25.2,0.34241789,1.46,0.306079665,1.304776103,-284.3,-284.3
MSTRG.25.3,0.338203068,0.99,0.216946676,1.125922599,-263.3,-263.3
MSTRG.25.4,0.345323741,1.46,0.350119904,1.276705736,-252.4,-252.4
MSTRG.27.2,0.33677686,0.61,0.189049587,1.27811472,-210.8,-210.8
MSTRG.28.1,0.394822006,0.4,0.194174757,1.454697802,-175.8,-175.8
MSTRG.27.3,0.385602281,2.99,0.639344262,1.359262561,-322.6,-322.6
MSTRG.33.1,0.347413793,0.77,0.199137931,1.642027584,-230.1,-230.1
MSTRG.32.5,0.397823458,1.75,0.634824667,1.27439346,-212.7,-212.7
MSTRG.39.1,0.315334773,0.55,0.178185745,1.199182503,-194.3,-194.3
MSTRG.41.2,0.334325397,0.53,0.157738095,1.266199683,-230.3,-230.3
MSTRG.41.3,0.32176235,0.6,0.240320427,1.414364802,-137.8,-137.8
MSTRG.41.4,0.320323015,0.58,0.234185734,1.43511531,-135.3,-135.3
MSTRG.42.1,0.395522388,2.26,0.562189055,1.450103396,-311.1,-311.1
MSTRG.45.3,0.395299145,2.78,0.594017094,1.625290329,-365.4,-365.4
MSTRG.46.1,0.377224199,0.06,0.06405694,1.391883733,-53.9,-53.9
MSTRG.47.4,0.391240876,1.98,0.433576642,1.245006688,-327.5,-327.5
MSTRG.50.1,0.390581717,0.48,0.199445983,1.79200487,-159.6,-159.6
MSTRG.51.1,0.387029289,4.44,0.928870293,1.185876419,-343.9,-343.9
MSTRG.53.1,0.430167598,0.4,0.335195531,1.434138655,-83.4,-83.4
MSTRG.57.1,0.347107438,0.39,0.096694215,1.130787037,-255.8,-255.8
MSTRG.58.1,0.396017699,3.52,0.778761062,1.354190915,-341.4,-341.4
MSTRG.60.4,0.415277778,3.09,0.64375,1.625134051,-385,-385
MSTRG.60.7,0.381507382,1.73,0.403263403,1.498117366,-298.4,-298.4
MSTRG.61.1,0.359801489,0.27,0.200992556,1.194207365,-77.1,-77.1
MSTRG.61.2,0.400572246,0.36,0.154506438,1.595470085,-127.4,-127.4
MSTRG.64.2,0.350877193,0.51,0.244019139,1.296977124,-134.7,-134.7
MSTRG.64.3,0.34765625,0.51,0.19921875,1.186295564,-170.2,-170.2
MSTRG.65.1,0.348035837,3.3,0.682288077,1.280144641,-345.4,-345.4
MSTRG.66.1,0.326055313,1.08,0.471615721,1.702977808,-102.8,-102.8
MSTRG.70.2,0.400156006,1.48,0.346333853,1.396797221,-273.3,-273.3
MSTRG.73.1,0.394993046,1.81,0.755215577,1.385756094,-183.8,-183.8
MSTRG.78.1,0.375510204,1.21,0.740816327,1.321024722,-126.7,-126.7
MSTRG.81.1,0.330555556,0.24,0.2,1.530938271,-67.7,-67.7
MSTRG.81.2,0.299024919,0.77,0.250270856,1.17963654,-188.5,-188.5
MSTRG.81.3,0.315789474,0.64,0.325976231,1.531801036,-126.4,-126.4
MSTRG.81.4,0.317738791,0.23,0.134502924,1.179822845,-102.9,-102.9
MSTRG.81.5,0.327054795,0.44,0.226027397,1.234171456,-144.5,-144.5
MSTRG.81.6,0.300624442,0.64,0.171275647,1.214805583,-255.4,-255.4
MSTRG.81.7,0.303030303,0.64,0.187683284,1.112145594,-227.3,-227.3
MSTRG.81.8,0.32464455,0.23,0.163507109,1.413814484,-89.8,-89.8
MSTRG.83.1,0.338600451,0.38,0.257336343,1.278409825,-87.2,-87.2
MSTRG.84.1,0.354214123,0.44,0.150341686,1.500418634,-195.7,-195.7
MSTRG.85.1,0.356271777,2.09,0.546167247,1.446445031,-276.4,-276.4
MSTRG.85.2,0.363917526,0.49,0.151546392,1.442676525,-238.9,-238.9
MSTRG.87.1,0.419825073,0.85,0.743440233,1.504292929,-76.6,-76.6
MSTRG.88.1,0.356016598,2.18,0.542738589,1.346067565,-272.5,-272.5
MSTRG.88.2,0.359875098,2.43,0.569086651,1.359653931,-289.6,-289.6
MSTRG.91.1,0.397076736,0.5,0.182704019,1.390660026,-215.3,-215.3
MSTRG.92.3,0.441260745,2.76,0.593123209,1.363443911,-268.14,-268.14
MSTRG.92.4,0.382949932,2.15,0.872801083,1.376948571,-177.8,-177.8
MSTRG.93.2,0.404298187,3.48,0.701141706,1.368238165,-349.5,-349.5
MSTRG.96.1,0.311304348,0.83,0.216521739,1.150462046,-247.6,-247.6
MSTRG.96.2,0.291322314,0.64,0.396694215,1.213989893,-85.3,-85.3
MSTRG.97.1,0.440972222,0.36,0.375,1.526416925,-73.7,-73.7
