Unnamed: 0,GC,ORF_len,ORF_cov,Fickett,Hexamer,MFE
MSTRG.1.1,0.337025316,1.01,0.47943038,1.269527363,0,-160.9
MSTRG.1.2,0.354948805,1.05,0.537542662,1.160096154,0,-156.8
MSTRG.2.1,0.432624113,0.24,0.255319149,1.672101449,0,-61.6
MSTRG.2.2,0.42721519,0.55,0.522151899,1.644987469,0,-79.6
MSTRG.2.3,0.414918415,0.24,0.167832168,1.29672984,0,-95.3
MSTRG.2.4,0.407322654,0.24,0.164759725,1.469648216,0,-100.3
MSTRG.3.8,0.322758621,0.73,0.151034483,1.195083597,0,-314.2
MSTRG.3.9,0.315644383,0.73,0.150930393,1.109594598,0,-304.8
MSTRG.3.10,0.30380868,0.73,0.193976971,1.083882143,0,-241.2
MSTRG.3.12,0.312735494,0.34,0.076865109,1.186090995,0,-271.3
MSTRG.3.13,0.343456255,0.29,0.062906725,1.176852955,0,-318.8
MSTRG.3.14,0.330798479,0.45,0.102661597,1.121719054,0,-307.8
MSTRG.4.1,0.34265233,0.86,0.184946237,1.255337981,0,-300
MSTRG.4.2,0.346600332,0.86,0.213930348,1.337076232,0,-264.1
MSTRG.5.2,0.357495881,1.19,0.294069193,1.241417671,0,-257.8
MSTRG.7.5,0.38480194,0.38,0.092158448,1.261016168,0,-232.6
MSTRG.6.5,0.363736264,0.94,0.30989011,1.429956223,0,-201.6
MSTRG.6.6,0.359781122,0.84,0.172366621,1.093992844,0,-338.4
MSTRG.6.8,0.360992908,0.81,0.172340426,1.1896732,0,-340.6
MSTRG.6.9,0.351351351,0.4,0.405405405,1.50103022,0,-52.6
MSTRG.10.2,0.343130554,0.49,0.100478469,1.21168273,0,-353.3
MSTRG.10.4,0.34298441,0.85,0.189309577,1.08369248,0,-323
MSTRG.10.17,0.376325088,0.31,0.164310954,1.569500675,0,-85.57
MSTRG.13.1,0.351407716,1.38,0.431699687,1.068302983,0,-177.77
MSTRG.17.5,0.350854139,0.82,0.32325887,1.395054264,0,-177.2
MSTRG.21.1,0.376470588,2.27,0.534117647,1.407095505,0,-296.8
MSTRG.23.1,0.388724036,0.66,0.587537092,1.862402534,0,-86.1
MSTRG.25.1,0.42215256,0.69,0.21630094,1.514673203,0,-231.5
MSTRG.25.2,0.34241789,1.46,0.306079665,1.304776103,0,-284.3
MSTRG.25.3,0.338203068,0.99,0.216946676,1.125922599,0,-263.3
MSTRG.25.4,0.345323741,1.46,0.350119904,1.276705736,0,-252.4
MSTRG.27.2,0.33677686,0.61,0.189049587,1.27811472,0,-210.8
MSTRG.28.1,0.394822006,0.4,0.194174757,1.454697802,0,-175.8
MSTRG.27.3,0.385602281,2.99,0.639344262,1.359262561,0,-322.6
MSTRG.33.1,0.347413793,0.77,0.199137931,1.642027584,0,-230.1
MSTRG.32.5,0.397823458,1.75,0.634824667,1.27439346,0,-212.7
MSTRG.39.1,0.315334773,0.55,0.178185745,1.199182503,0,-194.3
MSTRG.41.2,0.334325397,0.53,0.157738095,1.266199683,0,-230.3
MSTRG.41.3,0.32176235,0.6,0.240320427,1.414364802,0,-137.8
MSTRG.41.4,0.320323015,0.58,0.234185734,1.43511531,0,-135.3
MSTRG.42.1,0.395522388,2.26,0.562189055,1.450103396,0,-311.1
MSTRG.45.3,0.395299145,2.78,0.594017094,1.625290329,0,-365.4
MSTRG.46.1,0.377224199,0.06,0.06405694,1.391883733,0,-53.9
MSTRG.47.4,0.391240876,1.98,0.433576642,1.245006688,0,-327.5
MSTRG.50.1,0.390581717,0.48,0.199445983,1.79200487,0,-159.6
MSTRG.51.1,0.387029289,4.44,0.928870293,1.185876419,0,-343.9
MSTRG.53.1,0.430167598,0.4,0.335195531,1.434138655,0,-83.4
MSTRG.57.1,0.347107438,0.39,0.096694215,1.130787037,0,-255.8
MSTRG.58.1,0.396017699,3.52,0.778761062,1.354190915,0,-341.4
MSTRG.60.4,0.415277778,3.09,0.64375,1.625134051,0,-385
MSTRG.60.7,0.381507382,1.73,0.403263403,1.498117366,0,-298.4
MSTRG.61.1,0.359801489,0.27,0.200992556,1.194207365,0,-77.1
MSTRG.61.2,0.400572246,0.36,0.154506438,1.595470085,0,-127.4
MSTRG.64.2,0.350877193,0.51,0.244019139,1.296977124,0,-134.7
MSTRG.64.3,0.34765625,0.51,0.19921875,1.186295564,0,-170.2
MSTRG.65.1,0.348035837,3.3,0.682288077,1.280144641,0,-345.4
MSTRG.66.1,0.326055313,1.08,0.471615721,1.702977808,0,-102.8
MSTRG.70.2,0.400156006,1.48,0.346333853,1.396797221,0,-273.3
MSTRG.73.1,0.394993046,1.81,0.755215577,1.385756094,0,-183.8
MSTRG.78.1,0.375510204,1.21,0.740816327,1.321024722,0,-126.7
MSTRG.81.1,0.330555556,0.24,0.2,1.530938271,0,-67.7
MSTRG.81.2,0.299024919,0.77,0.250270856,1.17963654,0,-188.5
MSTRG.81.3,0.315789474,0.64,0.325976231,1.531801036,0,-126.4
MSTRG.81.4,0.317738791,0.23,0.134502924,1.179822845,0,-102.9
MSTRG.81.5,0.327054795,0.44,0.226027397,1.234171456,0,-144.5
